Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Hampton Inn Manhattan Chelsea,"Chelsea, New York",2.9 km from center,7.8,Good,₪ 873,"1,453 reviews",Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
Paramount Hotel Times Square,"Manhattan, New York",1 km from center,6.5,Review score,"₪ 1,414","2,493 reviews",King Room,1 king bed,Free cancellation,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
Paramount Hotel Times Square,"Manhattan, New York",1 km from center,6.5,Review score,₪ 680,"2,493 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
Arlo Midtown,"Hell's Kitchen, New York",1.7 km from center,8.7,Excellent,"₪ 1,276","3,036 reviews",Standard King Room,1 king bed,Prepayment,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
The Evelyn NoMad,"NoMad, New York",2.7 km from center,7.6,Good,"₪ 1,717","2,611 reviews",Double Room,1 king bed,Free cancellation,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
JG Sohotel,"SoHo, New York",5.7 km from center,7.2,Good,"₪ 1,491",33 reviews,Double Room,1 queen bed,Free cancellation,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,"₪ 1,570","1,444 reviews",Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,"₪ 1,716","12,866 reviews",Corner King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
The Herald 8 by LuxUrban,"Manhattan, New York",2 km from center,7.7,Good,"₪ 1,826","2,309 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
West Side YMCA,"Upper West Side, New York",350 m from center,6.6,Review score,"₪ 1,122","7,538 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Very Good,"₪ 1,203",580 reviews,Room with Two Double Beds,2 full beds,Prepayment,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
The Tuscany Powered by LuxUrban,"Murray Hill, New York",2.1 km from center,7.9,Good,"₪ 1,350",107 reviews,Signature 1 Queen Bed,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
CIVILIAN Hotel,"Hell's Kitchen, New York",0.9 km from center,8.5,Very Good,"₪ 1,246","1,233 reviews",Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",0.6 km from center,7.8,Good,₪ 874,"2,668 reviews",Run of House,1 full bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-22,2023-03-19,2 nights,1.0
